id,requirement,status,evidence,notes
DIR-01,Mandatory verification/ideal_sar directory structure exists,PASS,rg --files verification/ideal_sar,Required directories and named artifacts are present.
CFG-01,Single source config config/sar_adc.yaml drives models and plots,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\config\sar_adc.yaml,Python harness loads the YAML config in every stage.
TOOL-01,"Preflight finds Python, ngspice, cocotb, and HDL simulator",PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\preflight_tools.csv,"Container run provides ngspice, Icarus, Verilator, make, Python, NumPy, Matplotlib, PyYAML, and cocotb."
EXEC-01,"Python direct ADC, cycle SAR, and independent oracle execute",PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\functional_vectors.csv,Current vector set passes; exhaustive transition-neighborhood coverage is tracked separately.
EXEC-02,ngspice analog-side smoke path executes,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\logs\ngspice_smoke.log,Runs ideal DAC OP smoke deck; full analog transient/power proxy remains separate.
EXEC-03,cocotb/Icarus cycle-accurate SAR simulation executes,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\logs\cocotb_smoke.log,Runs reset/midscale conversion test on ideal_sar_core.sv.
F-01,Test-only reset and CLKS conversion recovery,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\logs\cocotb_smoke.log,"cocotb asserts the optional test reset, then verifies CLKS-falling conversion, reset-state internal observation ports, and a subsequent valid conversion."
F-02,Exhaustive 256 code centers,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\unit_results.csv,Round-trip center check covers all 256 codes.
F-03,Every transition boundary T_k-eps/T_k/T_k+eps,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\functional_transition_boundaries.csv,"All 255 transitions are checked at -eps, exact tie, and +eps with direct/SAR/oracle agreement."
F-04,Beyond-full-scale saturation,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\functional_overrange_saturation.csv,Both low and high overrange cases saturate to 0 and 255.
F-05,"At least 10,000 random inputs",PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\functional_random_equivalence_10000.csv,"10000 random samples, mismatch count 0."
F-06,Common-mode invariance,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\common_mode_invariance.csv,Three legal common-mode settings are checked.
F-07,Straight-binary output encoding at key points,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\functional_vectors.csv,"Negative full-scale, zero differential, and positive full-scale behavior are included in functional vectors."
F-08,DOUT update/stability around EOC_INT,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dout_latency_stability.csv,DOUT remains at the previous code before EOC_INT and updates atomically at the internal end-of-conversion event.
T-01,CLKS=2 MHz frame gives 2 MS/s,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\timing_budget.csv,Nominal row uses 125 ns track plus 375 ns conversion.
T-02,100 ns track plus 400 ns conversion case gives 2 MS/s,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\timing_budget.csv,Alternate row is exact and remains CLKS-only.
T-03,No external READY/CONVST/SAR_CLK required,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\timing_budget.csv,"Contract is represented by CLKS, internal EOC_INT, and DOUT hold/update timing."
T-04,"10,000 continuous conversions with one EOC_INT per frame",PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\continuous_conversion_accounting_10000.csv,10000 conversion frames each map to one EOC_INT.
T-05,DOUT latency and stability for multiple inputs,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dout_latency_stability.csv,Multiple input values are checked for exact EOC_INT update and hold-window stability.
T-06,MSB-to-LSB bit-trial sequence,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\sar_bit_trial_trace.csv,Representative low/mid/high/transition-adjacent traces are recorded.
T-07,CLKS/reset corner cases without X/Z leaks,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\logs\cocotb_smoke.log,"cocotb checks CLKS sample/hold behavior, optional test reset, and absence of X/Z text in observed outputs."
S-01,Transfer characteristic,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_transitions.csv,Ideal staircase and code centers are generated.
S-02,Transition levels,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_transitions.csv,All 255 theoretical transitions are present.
S-03,Offset error,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\metrics.csv,Offset is zero in deterministic ideal table.
S-04,Gain error,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\metrics.csv,Gain error is zero in deterministic ideal table.
S-05,DNL,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_dnl.csv,Max abs deterministic DNL <= 0.01 LSB.
S-06,Endpoint INL,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_inl.csv,Max abs endpoint INL <= 0.01 LSB.
S-07,Best-fit INL,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_inl.csv,Max abs best-fit INL <= 0.01 LSB.
S-08,Missing codes,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\histogram_counts.csv,Ramp code-hit coverage is 256/256.
S-09,Monotonicity,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_dnl.csv,All widths are positive.
S-10,Quantization error max/RMS,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\raw\quantization_error_lsb.csv,Max and RMS meet ideal criteria.
S-11,Code-hit coverage,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\histogram_counts.csv,Ramp histogram hits all codes.
HIST-01,Ramp histogram DNL/INL agrees with transition method,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\histogram_linearity_comparison.csv,Ramp histogram DNL/INL is derived from counts and compared with deterministic transition DNL/INL.
HIST-02,Sine histogram CDF/PDF correction with confidence bounds,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\histogram_linearity_comparison.csv,Sine CDF expected counts and residual sigma are reported; max abs residual sigma 0.03965010337333216.
DYN-01,Low and near-Nyquist coherent FFTs,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv,Both configured bins pass direct/SAR/oracle agreement.
DYN-02,Amplitude/frequency/phase SQNR/SQDR sweep,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_sqnr_sqdr_sweep.csv,5 amplitudes x 2 frequencies x 3 phases completed.
DYN-03,Separate CSV per amplitude/frequency/phase combination,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_points,30 per-point dynamic CSV files emitted.
DYN-04,Required dynamic figure set,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots,30 adc_* dynamic plots generated.
DYN-05,SQNR/SQDR/SQNDR power closure,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_sqnr_sqdr_sweep.csv,Maximum model delta is 0 dB and closure is computed.
DYN-06,Canonical representative coherent bins and display phase,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\config\sar_adc.yaml,"Representative bins are [997, 32113] with phase 0.37 rad; first 10 folded harmonics have no collisions."
DYN-07,Representative input/output waveform CSV and multi-panel figures,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_input_output_time_low_frequency.csv,"Low-frequency waveform has 192 rows, near-Nyquist waveform has 64 rows, and both PNG figures use ideal_DAC(DOUT) as the input/output comparison signal."
DYN-08,Representative one-sided dBFS output spectrum CSV and figures,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_output_spectrum_low_frequency.csv,Each spectrum CSV has 32769 rows and each adc_fft_* figure exists.
DAC-01,"DAC transfer, bit weights, DNL/INL, monotonicity",PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dac_transfer.csv,Ideal threshold/center DAC checks pass.
DAC-02,DAC settling/glitch and SAR DAC trajectory figures,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dac_settling_glitch.csv,Ideal zero-settling and zero-glitch proxy rows plus required DAC trajectory figures are generated.
DAC-03,Official input/output comparison through ideal DAC(DOUT),PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_dac_reconstruction_low_frequency.csv,"The low-frequency comparison plot sets ideal_DAC(DOUT), reconstructed from EOC_INT-updated DOUT, as the waveform-domain ADC output for input/output comparison."
POWER-01,ngspice known-current power proxy,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\power_harness_selftest.csv,ngspice measures current through a known 3.3 V / 3.3 kOhm load and compares power/energy to analytical values.
UNIT-01,Synthetic metric unit-test list 1-18,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\unit_results.csv,22 synthetic/post-processing unit rows are present and passing.
FI-01,All 13 fault injections detected/measured,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\fault_injection_results.csv,"All 13 rows include an injection method and measured detection quantity; timing, comparator, bit swap, sampling-shift, noise, harmonic, and static impairments are checked."
REPORT-01,Final report 19-section structure,PASS,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\report\ideal_sar_adc_testbench_validation.md,"Report sections exist, but metric-template depth is still concise."
