target_id,mismatch_seed,band,reasons,early_available,early_code_exact,v7_code_exact,later_mc10_sources,later_mc10_any_code_exact,later_mc10_all_code_exact,exact_reference_sets,no_reference_code_exact
S001_NEAR_NYQUIST,1,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,False,,False,V10_MC10,True,True,V10_MC10,False
S008_NEAR_NYQUIST,8,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,False,,False,,,,,True
S011_LOW,11,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,True,True,False,,,,EARLY_MC200,False
S016_LOW,16,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S021_LOW,21,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,True,True,False,V10_MC10,True,True,EARLY_MC200;V10_MC10,False
S022_LOW,22,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,True,True,False,,,,EARLY_MC200,False
S026_NEAR_NYQUIST,26,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,False,,False,,,,,True
S036_LOW,36,LOW,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,True,False,False,,,,,True
S047_LOW,47,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S052_NEAR_NYQUIST,52,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,False,,False,,,,,True
S070_LOW,70,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S073_LOW,73,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S074_NEAR_NYQUIST,74,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,False,,False,V11_MC10,True,True,V11_MC10,False
S090_LOW,90,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S095_LOW,95,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S096_LOW,96,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S098_LOW,98,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,True,True,False,,,,EARLY_MC200,False
S100_LOW,100,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,True,True,False,V11_MC10,True,True,EARLY_MC200;V11_MC10,False
S101_LOW,101,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S110_LOW,110,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S115_LOW,115,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,V10_MC10;V11_MC10,True,True,V10_MC10;V11_MC10;V7_MC200,False
S116_LOW,116,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S118_LOW,118,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S123_LOW,123,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,True,True,False,,,,EARLY_MC200,False
S129_LOW,129,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,True,True,False,V10_MC10,True,True,EARLY_MC200;V10_MC10,False
S132_NEAR_NYQUIST,132,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,False,,False,,,,,True
S135_LOW,135,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S139_NEAR_NYQUIST,139,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,False,,False,,,,,True
S143_LOW,143,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S147_LOW,147,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S160_LOW,160,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S162_LOW,162,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S173_LOW,173,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S175_LOW,175,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,True,True,False,V11_MC10,True,True,EARLY_MC200;V11_MC10,False
S179_LOW,179,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S180_LOW,180,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S181_LOW,181,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S183_LOW,183,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,V10_MC10,True,True,V10_MC10;V7_MC200,False
S188_LOW,188,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S193_LOW,193,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,True,False,True,,,,V7_MC200,False
S199_LOW,199,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,True,True,False,,,,EARLY_MC200,False
