mismatch_seed,pvt,candidate_job_id,baseline_job_id,match_band,match_bin,match_fin_hz,match_input_vpp_diff,match_maxstep_ns,match_method_id,match_mismatch_checksum,match_mismatch_seed,match_nfft,match_noise_full_checksum,match_noise_mode,match_noise_prefix_checksum_0_63,match_noise_seed,match_phase_rad,match_pvt,match_retained_frame_end,match_retained_frame_start,match_steady_state_method_id,match_total_frames,match_warmup_frames,pass
44,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S044_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
26,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S026_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
65,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S065_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S065_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S021_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
36,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S036_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S002_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S012_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
182,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S182_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S182_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
86,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S086_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S086_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
80,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S080_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S080_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
128,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S128_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S128_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
189,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S189_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S189_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
116,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S116_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S116_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
190,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S190_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S190_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
45,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S045_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S045_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
188,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S188_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S188_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
142,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S142_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S142_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
53,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S053_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S053_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
132,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S132_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,TT_3P3_27C,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S096_LOW_W4,PVT3_TT_3P3_27C_CMP_IN_A2P25_W_T1P000_S096_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
44,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S044_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
26,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S026_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
65,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S065_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S065_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S021_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
36,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S036_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S002_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S012_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
182,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S182_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S182_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
86,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S086_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S086_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
80,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S080_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S080_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
128,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S128_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S128_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
189,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S189_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S189_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
116,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S116_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S116_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
190,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S190_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S190_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
45,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S045_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S045_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
188,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S188_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S188_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
142,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S142_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S142_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
53,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S053_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S053_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
132,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S132_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,SS_3P0_125C,PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S096_LOW_W4,PVT3_SS_3P0_125C_CMP_IN_A2P25_W_T1P000_S096_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
44,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S044_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
26,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S026_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
65,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S065_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S065_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S021_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
36,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S036_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S002_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S012_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
182,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S182_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S182_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
86,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S086_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S086_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
